Index,News,Date
1,"For developing designers, there’s magic in 2.737 (Mechatronics)",2024-09-03 00:00:00
2,Study: Transparency is often lacking in datasets used to train large language models,2024-08-30 00:00:00
3,"How MIT’s online resources provide a “highly motivating, even transformative experience”",2024-08-29 00:00:00
4,A framework for solving parabolic partial differential equations,2024-08-28 00:00:00
5,Toward a code-breaking quantum computer,2024-08-23 00:00:00
6,AI assistant monitors teamwork to promote effective collaboration,2024-08-19 00:00:00
7,LLMs develop their own understanding of reality as their language abilities improve,2024-08-14 00:00:00
8,MIT researchers use large language models to flag problems in complex systems,2024-08-14 00:00:00
9,Helping robots practice skills independently to adapt to unfamiliar environments,2024-08-08 00:00:00
10,New transistor’s superlative properties could have broad electronics applications,2024-07-26 00:00:00
11,"Study: When allocating scarce resources with AI, randomization can improve fairness",2024-07-24 00:00:00
12,MIT researchers advance automated interpretability in AI models,2024-07-23 00:00:00
13,"Large language models don’t behave like people, even though we may expect them to",2024-07-23 00:00:00
14,AI model identifies certain breast tumor stages likely to progress to invasive cancer,2024-07-22 00:00:00
15,License plates of MIT,2024-07-22 00:00:00
16,Creating and verifying stable AI-controlled systems in a rigorous and flexible way,2024-07-17 00:00:00
17,AI method radically speeds predictions of materials’ thermal properties ,2024-07-16 00:00:00
18,How to assess a general-purpose AI model’s reliability before it’s deployed ,2024-07-16 00:00:00
19,Marking a milestone: Dedication ceremony celebrates the new MIT Schwarzman College of Computing building,2024-07-12 00:00:00
20,Reasoning skills of large language models are often overestimated,2024-07-11 00:00:00
21,When to trust an AI model,2024-07-11 00:00:00
22,“They can see themselves shaping the world they live in”,2024-07-08 00:00:00
23,MIT researchers introduce generative AI for databases,2024-07-08 00:00:00
24,Wireless receiver blocks interference for better mobile device performance,2024-06-27 00:00:00
25,"Arvind, longtime MIT professor and prolific computer scientist, dies at 77",2024-06-18 00:00:00
26,MIT graduate engineering and business programs ranked highly by U.S. News for 2024-25,2024-06-18 00:00:00
27,"Researchers leverage shadows to model 3D scenes, including objects blocked from view",2024-06-18 00:00:00
28,Understanding the visual knowledge of language models,2024-06-17 00:00:00
29,A smarter way to streamline drug discovery,2024-06-17 00:00:00
30,Technique improves the reasoning capabilities of large language models,2024-06-14 00:00:00
31,Researchers use large language models to help robots navigate,2024-06-12 00:00:00
32,New algorithm discovers language just by watching videos,2024-06-11 00:00:00
33,Mouth-based touchpad enables people living with paralysis to interact with computers,2024-06-05 00:00:00
34,Helping robots grasp the unpredictable,2024-06-03 00:00:00
35,A technique for more effective multipurpose robots,2024-06-03 00:00:00
36,"Modular, scalable hardware architecture for a quantum computer",2024-05-29 00:00:00
37,Looking for a specific action in a video? This AI-based method can find it for you,2024-05-29 00:00:00
38,Controlled diffusion model can change material properties in images,2024-05-28 00:00:00
39,School of Engineering welcomes new faculty,2024-05-23 00:00:00
40,Robotic palm mimics human touch,2024-05-20 00:00:00
41,"Janabel Xia: Algorithms, dance rhythms, and the drive to succeed",2024-05-17 00:00:00
42,Scientists use generative AI to answer complex questions in physics,2024-05-16 00:00:00
43,New tool empowers users to fight online misinformation,2024-05-16 00:00:00
44,Using ideas from game theory to improve the reliability of language models,2024-05-14 00:00:00
45,A better way to control shape-shifting soft robots,2024-05-10 00:00:00
46,Creating bespoke programming languages for efficient visual AI systems,2024-05-03 00:00:00
47,Three from MIT named 2024-25 Goldwater Scholars,2024-05-02 00:00:00
48,"Fostering research, careers, and community in materials science",2024-05-01 00:00:00
49,"Natural language boosts LLM performance in coding, planning, and robotics",2024-05-01 00:00:00
50,MIT Emerging Talent opens pathways for underserved global learners,2024-04-25 00:00:00
51,Study demonstrates efficacy of MIT-led Brave Behind Bars program,2024-04-24 00:00:00
52,MIT scientists tune the entanglement structure in an array of qubits,2024-04-24 00:00:00
53,Mapping the brain pathways of visual memorability,2024-04-23 00:00:00
54,This tiny chip can safeguard user data while enabling efficient computing on a smartphone,2024-04-23 00:00:00
55,"To build a better AI helper, start by modeling the irrational behavior of humans",2024-04-19 00:00:00
56,"For more open and equitable public discussions on social media, try “meronymity”",2024-04-18 00:00:00
57,A blueprint for making quantum computers easier to program,2024-04-16 00:00:00
58,A crossroads for computing at MIT,2024-04-11 00:00:00
59,Growing our donated organ supply,2024-04-11 00:00:00
60,New AI method captures uncertainty in medical images ,2024-04-11 00:00:00
61,"With inspiration from “Tetris,” MIT researchers develop a better radiation detector",2024-04-10 00:00:00
62,QS World University Rankings rates MIT No. 1 in 11 subjects for 2024,2024-04-10 00:00:00
63,"A faster, better way to prevent an AI chatbot from giving toxic responses",2024-04-10 00:00:00
64,Propelling atomically layered magnets toward green computers,2024-04-04 00:00:00
65,A new computational technique could make it easier to engineer useful proteins,2024-04-03 00:00:00
66,Second round of seed grants awarded to MIT scholars studying the impact and applications of generative AI,2024-03-28 00:00:00
67,"New software enables blind and low-vision users to create interactive, accessible charts",2024-03-27 00:00:00
68,Engineering household robots to have a little common sense ,2024-03-25 00:00:00
69,Large language models use a surprisingly simple mechanism to retrieve some stored knowledge,2024-03-25 00:00:00
70,Students explore career opportunities in semiconductors,2024-03-22 00:00:00
71,AI generates high-quality images 30 times faster in a single step ,2024-03-21 00:00:00
72,New algorithm unlocks high-resolution insights for computer vision,2024-03-18 00:00:00
73,Unlocking the quantum future,2024-03-18 00:00:00
74,3 Questions: What you need to know about audio deepfakes,2024-03-15 00:00:00
75,Researchers help robots navigate efficiently in uncertain environments,2024-03-14 00:00:00
76,"“Imagine it, build it” at MIT",2024-03-14 00:00:00
77,Boosting student engagement and workforce development in microelectronics,2024-03-12 00:00:00
78,Researchers enhance peripheral vision in AI models,2024-03-08 00:00:00
79,Method rapidly verifies that a robot will avoid collisions ,2024-03-07 00:00:00
80,Deciphering the cellular mechanisms behind ALS,2024-03-06 00:00:00
81,Startup accelerates progress toward light-speed computing,2024-03-01 00:00:00
82,Dealing with the limitations of our noisy world,2024-03-01 00:00:00
83,3 Questions: Shaping the future of work in an age of AI,2024-02-28 00:00:00
84,Gosha Geogdzhayev and Sadhana Lolla named 2024 Gates Cambridge Scholars,2024-02-27 00:00:00
85,New AI model could streamline operations in a robotic warehouse,2024-02-27 00:00:00
86,“We offer another place for knowledge”,2024-02-26 00:00:00
87,Researchers harness 2D magnetic materials for energy-efficient computing,2024-02-22 00:00:00
88,Automated method helps researchers quantify uncertainty in their predictions,2024-02-21 00:00:00
89,"Play it again, Spirio",2024-02-21 00:00:00
90,Smart glove teaches new physical skills,2024-02-20 00:00:00
91,New model identifies drugs that shouldn’t be taken together,2024-02-20 00:00:00
92,"This tiny, tamper-proof ID tag can authenticate almost anything",2024-02-18 00:00:00
93,Using AI to discover stiff and tough microstructures ,2024-02-14 00:00:00
94,A new way to let AI chatbots converse all day without crashing,2024-02-13 00:00:00
95,How symmetry can come to the aid of machine learning,2024-02-05 00:00:00
96,Doctors have more difficulty diagnosing disease when looking at images of darker skin,2024-02-05 00:00:00
97,Creating new skills and new connections with MIT’s Quantitative Methods Workshop,2024-01-30 00:00:00
98,"MIT, Applied Materials, and the Northeast Microelectronics Coalition Hub to bring 200mm advanced research capabilities to MIT.nano",2024-01-30 00:00:00
99,Study: Smart devices’ ambient light sensors pose imaging privacy risk,2024-01-29 00:00:00
100,Entrepreneur creates career pathways with MIT OpenCourseWare,2024-01-25 00:00:00
101,Researchers demonstrate rapid 3D printing with liquid metal,2024-01-25 00:00:00
102,What to do about AI in health?,2024-01-23 00:00:00
103,New hope for early pancreatic cancer intervention via AI-based risk prediction,2024-01-18 00:00:00
104,Reasoning and reliability in AI,2024-01-18 00:00:00
105,Self-powered sensor automatically harvests magnetic energy,2024-01-18 00:00:00
106,Stratospheric safety standards: How aviation could steer regulation of AI in health,2024-01-17 00:00:00
107,Multiple AI models help robots execute complex plans more transparently,2024-01-08 00:00:00
