Index,News,Date
1,"50 years ago, X-rays provided an unprecedented look inside the brain",2023-09-01 00:00:00
2,How artificial intelligence sharpens blurry thermal vision images,2023-08-24 00:00:00
3,Huijia Lin proved that a master tool of cryptography is possible,2022-09-29 00:00:00
4,An AI can decode speech from brain activity with surprising accuracy,2022-09-08 00:00:00
5,The world’s fastest supercomputer just broke the exascale barrier,2022-06-01 00:00:00
6,How the way we’re taught to round numbers in school falls short,2022-03-22 00:00:00
7,"Now that computers connect us all, for better and worse, what’s next?",2022-02-24 00:00:00
8,Core memory weavers and Navajo women made the Apollo missions possible,2022-02-18 00:00:00
9,Artificial intelligence challenges what it means to be creative,2022-02-17 00:00:00
10,How AI can identify people even in anonymized datasets,2022-01-25 00:00:00
11,"Watch this beautiful, high-resolution simulation of how stars are born",2021-05-20 00:00:00
12,Brain implants turn imagined handwriting into text on a screen,2021-05-12 00:00:00
13,A new laser-based random number generator is the fastest of its kind,2021-02-25 00:00:00
14,A smartwatch app alerts users with hearing loss to nearby sounds,2020-11-06 00:00:00
15,"Tiny, magnetically controlled robots coax nerve cells to grow connections",2020-09-25 00:00:00
16,How next-gen computer generated maps detect partisan gerrymandering,2020-09-07 00:00:00
17,You can help fight the coronavirus. All you need is a computer,2020-03-25 00:00:00
18,How a quantum technique highlights math’s mysterious link to physics,2020-02-17 00:00:00
19,AI can predict which criminals may break laws again better than humans,2020-02-14 00:00:00
20,A quantum strategy could verify the solutions to unsolvable problems — in theory,2020-01-24 00:00:00
21,Google officially lays claim to quantum supremacy,2019-10-23 00:00:00
22,Parag Pathak uses data and algorithms to make public education fairer,2019-10-02 00:00:00
23,"A chip made with carbon nanotubes, not silicon, marks a computing milestone",2019-08-28 00:00:00
24,Artificial intelligence has now pretty much conquered poker,2019-07-11 00:00:00
25,AI can learn real-world skills from playing StarCraft and Minecraft,2019-05-14 00:00:00
26,Facebook data show how many people left Puerto Rico after Hurricane Maria,2019-05-03 00:00:00
27,Mathematicians may have found the fastest way to multiply huge numbers,2019-04-08 00:00:00
28,A new algorithm could help protect planes from damaging volcanic ash,2018-11-27 00:00:00
29,Virtual avatars learned cartwheels and other stunts from videos of people,2018-11-05 00:00:00
30,A new computer program generates eerily realistic fake videos,2018-08-14 00:00:00
31,Solving problems by computer just got a lot faster,2018-07-16 00:00:00
32,‘Weird Math’ aims to connect numbers and equations to the real world,2018-04-16 00:00:00
33,Are computers better than people at predicting who will commit another crime?,2018-02-20 00:00:00
34,‘Machines That Think’ predicts the future of artificial intelligence,2018-02-02 00:00:00
35,Your phone is like a spy in your pocket,2018-01-23 00:00:00
36,Ask AI: How not to kill online conversations,2018-01-03 00:00:00
37,New setup for image recognition AI lets a program think on its feet,2017-12-04 00:00:00
38,Quantum computing steps forward with 50-qubit prototype,2017-11-10 00:00:00
39,Quantum computers take a step forward with a 50-qubit prototype,2017-11-10 00:00:00
40,The newest AlphaGo mastered the game with no human input,2017-10-18 00:00:00
41,M. Ehsan Hoque develops digital helpers that teach social skills,2017-10-04 00:00:00
42,The incredible shrinking transistor just got smaller,2017-07-19 00:00:00
43,"A quarter century ago, the qubit was born",2017-07-05 00:00:00
44,Quantum computers are about to get real,2017-06-29 00:00:00
45,Choosing the right cyberattack response is a complicated game,2017-03-03 00:00:00
46,Winning against a computer isn’t in the cards for poker pros,2017-03-02 00:00:00
47,Speech recognition has come a long way in 50 years,2017-02-16 00:00:00
48,Germanium computer chips gain ground on silicon — again,2017-02-09 00:00:00
49,Retracted result on network equivalence reinstated,2017-01-11 00:00:00
50,Hidden Figures highlights three black women who were vital to the U.S. space program,2016-12-23 00:00:00
51,Year in review: AlphaGo scores a win for artificial intelligence,2016-12-14 00:00:00
52,"AI system learns like a human, stores info like a computer",2016-10-14 00:00:00
53,"AI system learns like a human, stores info like a computer",2016-10-14 00:00:00
54,Digital rehab exposes Biblical roots of ancient Israeli scroll,2016-09-21 00:00:00
55,Jeremy Freeman seeks to simplify complex brain science,2016-09-21 00:00:00
56,Shayan Oveis Gharan finds the shortest route to success,2016-09-21 00:00:00
57,What Donkey Kong can tell us about how to study the brain,2016-08-23 00:00:00
58,Supersmall device uses individual atoms to store data,2016-08-15 00:00:00
59,Monitoring online groups offers insight into ISIS attacks,2016-06-16 00:00:00
60,Biologists seek help to ‘see’ itty-bitty molecules in 3-D,2016-06-13 00:00:00
61,Spy satellites reveal early start to Antarctic ice shelf collapse,2016-06-07 00:00:00
62,New technique produces real randomness,2016-05-27 00:00:00
63,New app puts an earthquake detector in your pocket,2016-02-12 00:00:00
